track_id,track_name,artist_name,artist_id,album_name,search_genre,popularity,explicit,duration_ms,artist_popularity,artist_followers,release_year,track_name_length,has_feat,has_parentheses,has_rock_keywords,has_pop_keywords,has_hip_hop_keywords,has_electronic_keywords,artist_genres,num_artist_genres,duration_minutes,is_recent,artist_tier
3z8h0TU7ReDPLIbEnYhWZb,Bohemian Rhapsody,Queen,1dfeR4HaWDbWqFHLkxsg1d,Bohemian Rhapsody (The Original Soundtrack),rock,73,0,354947,86,54853243,2018,17,0,0,0,0,0,0,"classic rock, rock, glam rock",3,5.915783333333334,0,high
2x6iNna6wQexggFz8smJcB,Seventh Heaven,INOHA,0uoN6ea8SXzhV7WxyrvT1h,ALOHA INOHA,rock,73,0,234499,62,142627,2024,14,0,0,0,0,0,0,,0,3.908316666666667,1,medium
6QAsrXPnMSXIbV0yEJHlEX,Nothing Else Matters - Remastered 2021,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica (Remastered Deluxe Box Set),rock,81,0,388733,86,31790017,2021,38,0,0,0,0,0,0,"metal, thrash metal, rock, heavy metal, hard rock",5,6.478883333333333,1,high
5RBOcBpJXaNnHCGViJmYhh,The Perfect Girl,Mareux,7riQPkkGZBnTh9ve5qIhYo,The Perfect Girl,rock,75,0,194423,66,571397,2021,16,0,0,0,0,0,0,"darkwave, cold wave",2,3.2403833333333334,1,medium
01MXkFA8sL7at6txavDErt,Making Love Out of Nothing at All,Air Supply,4xXCRXOfQKQ2gjWxNhNzYW,All Out Of Love,rock,75,0,341746,75,5230698,2018,33,0,0,0,1,0,0,soft rock,1,5.695766666666667,0,high
2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,The Emptiness Machine,rock,78,1,190427,92,31308714,2024,21,0,0,0,0,0,0,"nu metal, rap metal, rock, alternative metal",4,3.173783333333333,1,high
6THT788gESlEehya5KtiAo,Él No Lo Mató,El Haragán y Compañía,2NN9pzej9qFOOLBfRnmhIV,Él No Lo Mató,rock,53,0,278934,61,471508,2020,13,0,0,0,0,0,0,"mexican rock, rock en español, ska",3,4.6489,1,medium
6TEftSkmWdTm1EpThnwqh6,Wrecked,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Mercury - Acts 1 & 2,rock,71,0,244004,89,58105459,2022,7,0,0,0,0,0,0,,0,4.0667333333333335,1,high
1H4Y9uW4N0LsxJUz0VnaPJ,Just Pretend,Bad Omens,3Ri4H12KFyu98LMjSoij5V,THE DEATH OF PEACE OF MIND,rock,77,0,204676,77,1902106,2022,12,0,0,0,0,0,0,metalcore,1,3.4112666666666667,1,high
3gy21TwRSP40aUMwcY7Rtq,Navigating,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Clancy,rock,68,0,223106,87,25671506,2024,10,0,0,0,0,0,0,,0,3.7184333333333335,1,high
